image,sigma,algorithm,psnr,SSIM,Execution time (s)
7.1.10,30,noisy,18.580713,0.798249,n/a
7.1.10,30,swnlm,28.849031,0.970806,256.651000
7.1.10,30,cnlm,26.896031,0.953977,130.514000
7.1.10,35,noisy,17.237073,0.751416,n/a
7.1.10,35,swnlm,28.407936,0.967632,256.523000
7.1.10,35,cnlm,26.024015,0.944089,130.466000
7.1.10,40,noisy,16.089825,0.708744,n/a
7.1.10,40,swnlm,27.939924,0.963899,256.359000
7.1.10,40,cnlm,25.251602,0.933744,130.095000
7.1.10,45,noisy,15.084522,0.671465,n/a
7.1.10,45,swnlm,27.584946,0.960959,257.010000
7.1.10,45,cnlm,24.604473,0.924026,129.843000
7.1.10,50,noisy,14.157341,0.638932,n/a
7.1.10,50,swnlm,27.192630,0.957309,256.787000
7.1.10,50,cnlm,23.931905,0.912818,130.136000
7.1.10,55,noisy,13.327412,0.612424,n/a
7.1.10,55,swnlm,26.805187,0.953499,257.003000
7.1.10,55,cnlm,23.315974,0.901746,130.146000
7.1.10,60,noisy,12.550244,0.590871,n/a
7.1.10,60,swnlm,26.466106,0.949976,257.232000
7.1.10,60,cnlm,22.711230,0.889964,129.409000
5.1.14,0,original,inf,1.000000,n/a
5.1.14,5,noisy,34.148202,0.996575,n/a
5.1.14,5,swnlm,34.459199,0.996812,62.479000
5.1.14,5,cnlm,35.296352,0.997371,32.573000
5.1.14,10,noisy,28.131758,0.986382,n/a
5.1.14,10,swnlm,29.742551,0.990596,62.940000
5.1.14,10,cnlm,31.062840,0.993007,32.775000
5.1.14,15,noisy,24.612351,0.969639,n/a
5.1.14,15,swnlm,27.473374,0.984168,63.371000
5.1.14,15,cnlm,28.876120,0.988263,32.745000
5.1.14,20,noisy,22.120830,0.946842,n/a
5.1.14,20,swnlm,26.197479,0.978671,63.557000
5.1.14,20,cnlm,27.376376,0.983027,32.633000
5.1.14,25,noisy,20.188035,0.918734,n/a
5.1.14,25,swnlm,25.345071,0.973722,63.895000
5.1.14,25,cnlm,26.118426,0.976801,32.789000
5.1.14,30,noisy,18.596443,0.886173,n/a
5.1.14,30,swnlm,24.799701,0.969580,63.272000
5.1.14,30,cnlm,25.029651,0.969588,32.557000
5.1.14,35,noisy,17.278218,0.851662,n/a
5.1.14,35,swnlm,24.323124,0.965322,63.280000
5.1.14,35,cnlm,24.199345,0.962902,32.440000
5.1.14,40,noisy,16.070763,0.814052,n/a
